student_id;student_name;kampus;skill;score
J0003;Galih Kusuma;Jakarta;html;69.5
J0003;Galih Kusuma;Jakarta;information systems;99.4
J0003;Galih Kusuma;Jakarta;jaringan komputer;50.8
J0003;Galih Kusuma;Jakarta;klasifikasi (data);84.8
J0003;Galih Kusuma;Jakarta;kpi (key performance indicator);61.9
J0003;Galih Kusuma;Jakarta;kriptografi;99.6
J0003;Galih Kusuma;Jakarta;linux;96.3
J0003;Galih Kusuma;Jakarta;machine learning;93.6
J0003;Galih Kusuma;Jakarta;microsoft excel;59.8
J0003;Galih Kusuma;Jakarta;neural network;77.1
J0003;Galih Kusuma;Jakarta;nosql;87.0
J0003;Galih Kusuma;Jakarta;oop (object oriented programming);92.6
J0003;Galih Kusuma;Jakarta;osi layer;89.8
J0003;Galih Kusuma;Jakarta;otorisasi;94.0
J0003;Galih Kusuma;Jakarta;php;79.6
J0003;Galih Kusuma;Jakarta;prototyping;72.6
J0003;Galih Kusuma;Jakarta;pseudocode;75.7
J0003;Galih Kusuma;Jakarta;python;98.3
J0003;Galih Kusuma;Jakarta;rest api;84.5
J0003;Galih Kusuma;Jakarta;routing;73.5
J0003;Galih Kusuma;Jakarta;sap;74.3
J0003;Galih Kusuma;Jakarta;scm (supply chain management);99.1
J0003;Galih Kusuma;Jakarta;scrum;81.7
J0003;Galih Kusuma;Jakarta;sql;89.8
J0003;Galih Kusuma;Jakarta;statistika/probabilitas;95.6
J0003;Galih Kusuma;Jakarta;switching;92.8
J0003;Galih Kusuma;Jakarta;tcp/ip;94.3
J0003;Galih Kusuma;Jakarta;uml (unified modeling language);94.4
J0003;Galih Kusuma;Jakarta;vulnerability assessment;96.9
J0004;Oki Utami;Jakarta;agile;77.8
J0004;Oki Utami;Jakarta;algorithm design;87.6
J0004;Oki Utami;Jakarta;api;76.8
J0004;Oki Utami;Jakarta;basic programming;87.6
J0004;Oki Utami;Jakarta;basis data / database;89.3
J0004;Oki Utami;Jakarta;cloud computing;96.5
J0004;Oki Utami;Jakarta;cobit;82.5
J0004;Oki Utami;Jakarta;data mining;82.7
J0004;Oki Utami;Jakarta;data warehouse;87.9
J0004;Oki Utami;Jakarta;decision tree;54.6
J0004;Oki Utami;Jakarta;design thinking;83.5
J0004;Oki Utami;Jakarta;erd (entity relationship diagram);53.2
J0004;Oki Utami;Jakarta;erp (enterprise resource planning);71.5
J0004;Oki Utami;Jakarta;etl (extract transform load);52.7
J0004;Oki Utami;Jakarta;firewall;67.6
J0004;Oki Utami;Jakarta;flowchart;95.9
J0004;Oki Utami;Jakarta;git;74.1
J0004;Oki Utami;Jakarta;graphql;84.2
J0004;Oki Utami;Jakarta;html;66.2
J0004;Oki Utami;Jakarta;information systems;99.9
J0004;Oki Utami;Jakarta;jaringan komputer;78.7
J0004;Oki Utami;Jakarta;klasifikasi (data);96.5
J0004;Oki Utami;Jakarta;kpi (key performance indicator);73.8
J0004;Oki Utami;Jakarta;kriptografi;90.7
J0004;Oki Utami;Jakarta;linux;98.5
J0004;Oki Utami;Jakarta;machine learning;77.7
J0004;Oki Utami;Jakarta;microsoft excel;92.3
J0004;Oki Utami;Jakarta;mysql;86.4
J0004;Oki Utami;Jakarta;neural network;92.8
J0004;Oki Utami;Jakarta;nosql;71.5
J0004;Oki Utami;Jakarta;oop (object oriented programming);98.1
J0004;Oki Utami;Jakarta;osi layer;50.6
J0004;Oki Utami;Jakarta;otorisasi;89.2
J0004;Oki Utami;Jakarta;php;84.1
J0004;Oki Utami;Jakarta;prototyping;77.2
J0004;Oki Utami;Jakarta;pseudocode;64.9
J0004;Oki Utami;Jakarta;python;79.6
J0004;Oki Utami;Jakarta;regresi;99.9
J0004;Oki Utami;Jakarta;rest api;99.6
J0004;Oki Utami;Jakarta;routing;92.0
J0004;Oki Utami;Jakarta;scm (supply chain management);84.8
J0004;Oki Utami;Jakarta;scrum;52.1
J0004;Oki Utami;Jakarta;statistika/probabilitas;83.8
J0004;Oki Utami;Jakarta;switching;83.0
J0004;Oki Utami;Jakarta;tcp/ip;59.6
J0004;Oki Utami;Jakarta;uml (unified modeling language);86.3
J0004;Oki Utami;Jakarta;vulnerability assessment;92.3
J0005;Nadia Santoso;Jakarta;agile;76.2
J0005;Nadia Santoso;Jakarta;algorithm design;78.1
J0005;Nadia Santoso;Jakarta;basic programming;78.1
J0005;Nadia Santoso;Jakarta;basis data / database;96.6
J0005;Nadia Santoso;Jakarta;cloud computing;77.5
J0005;Nadia Santoso;Jakarta;cobit;83.6
J0005;Nadia Santoso;Jakarta;data mining;78.2
J0005;Nadia Santoso;Jakarta;data warehouse;76.2
J0005;Nadia Santoso;Jakarta;decision tree;74.3
J0005;Nadia Santoso;Jakarta;design thinking;90.6
J0005;Nadia Santoso;Jakarta;erd (entity relationship diagram);62.7
J0005;Nadia Santoso;Jakarta;erp (enterprise resource planning);97.1
J0005;Nadia Santoso;Jakarta;etl (extract transform load);99.5
J0005;Nadia Santoso;Jakarta;firewall;58.7
J0005;Nadia Santoso;Jakarta;flowchart;92.6
J0005;Nadia Santoso;Jakarta;graphql;61.3
J0005;Nadia Santoso;Jakarta;html;65.8
J0005;Nadia Santoso;Jakarta;information systems;100.0
J0005;Nadia Santoso;Jakarta;jaringan komputer;88.2
J0005;Nadia Santoso;Jakarta;klasifikasi (data);92.5
J0005;Nadia Santoso;Jakarta;kpi (key performance indicator);96.2
J0005;Nadia Santoso;Jakarta;kriptografi;86.6
J0005;Nadia Santoso;Jakarta;linux;81.1
J0005;Nadia Santoso;Jakarta;machine learning;97.1
J0005;Nadia Santoso;Jakarta;microsoft excel;76.3
J0005;Nadia Santoso;Jakarta;mysql;72.2
J0005;Nadia Santoso;Jakarta;neural network;57.7
J0005;Nadia Santoso;Jakarta;nosql;70.7
J0005;Nadia Santoso;Jakarta;oop (object oriented programming);85.8
J0005;Nadia Santoso;Jakarta;osi layer;66.1
J0005;Nadia Santoso;Jakarta;otorisasi;79.0
J0005;Nadia Santoso;Jakarta;php;95.4
J0005;Nadia Santoso;Jakarta;prototyping;88.7
J0005;Nadia Santoso;Jakarta;pseudocode;66.1
J0005;Nadia Santoso;Jakarta;python;86.9
J0005;Nadia Santoso;Jakarta;regresi;74.0
J0005;Nadia Santoso;Jakarta;rest api;71.5
J0005;Nadia Santoso;Jakarta;routing;95.1
J0005;Nadia Santoso;Jakarta;sap;73.7
J0005;Nadia Santoso;Jakarta;scm (supply chain management);63.2
J0005;Nadia Santoso;Jakarta;scrum;72.6
J0005;Nadia Santoso;Jakarta;statistika/probabilitas;91.7
J0005;Nadia Santoso;Jakarta;switching;91.7
J0005;Nadia Santoso;Jakarta;tcp/ip;82.5
J0005;Nadia Santoso;Jakarta;vulnerability assessment;88.5
J0006;Eka Anggraini;Jakarta;agile;61.8
J0006;Eka Anggraini;Jakarta;algorithm design;82.3
J0006;Eka Anggraini;Jakarta;api;69.7
J0006;Eka Anggraini;Jakarta;basic programming;82.3
J0006;Eka Anggraini;Jakarta;basis data / database;98.5
J0006;Eka Anggraini;Jakarta;cloud computing;65.7
J0006;Eka Anggraini;Jakarta;cobit;92.5
J0006;Eka Anggraini;Jakarta;data mining;96.2
J0006;Eka Anggraini;Jakarta;data warehouse;65.2
J0006;Eka Anggraini;Jakarta;decision tree;56.5
J0006;Eka Anggraini;Jakarta;erd (entity relationship diagram);51.1
J0006;Eka Anggraini;Jakarta;erp (enterprise resource planning);76.1
J0006;Eka Anggraini;Jakarta;etl (extract transform load);66.0
J0006;Eka Anggraini;Jakarta;firewall;97.2
J0006;Eka Anggraini;Jakarta;git;69.5
J0006;Eka Anggraini;Jakarta;graphql;73.3
J0006;Eka Anggraini;Jakarta;html;91.1
J0006;Eka Anggraini;Jakarta;information systems;98.1
J0006;Eka Anggraini;Jakarta;jaringan komputer;85.9
J0006;Eka Anggraini;Jakarta;klasifikasi (data);90.3
J0006;Eka Anggraini;Jakarta;kpi (key performance indicator);81.5
J0006;Eka Anggraini;Jakarta;kriptografi;93.2
J0006;Eka Anggraini;Jakarta;linux;84.4
J0006;Eka Anggraini;Jakarta;machine learning;85.7
J0006;Eka Anggraini;Jakarta;microsoft excel;58.8
J0006;Eka Anggraini;Jakarta;neural network;94.9
J0006;Eka Anggraini;Jakarta;nosql;80.8
J0006;Eka Anggraini;Jakarta;oop (object oriented programming);96.2
J0006;Eka Anggraini;Jakarta;otorisasi;86.9
J0006;Eka Anggraini;Jakarta;php;97.8
J0006;Eka Anggraini;Jakarta;prototyping;95.8
J0006;Eka Anggraini;Jakarta;rest api;81.8
J0006;Eka Anggraini;Jakarta;routing;96.7
J0006;Eka Anggraini;Jakarta;sap;92.0
J0006;Eka Anggraini;Jakarta;scm (supply chain management);86.9
J0006;Eka Anggraini;Jakarta;scrum;61.5
J0006;Eka Anggraini;Jakarta;sql;60.8
J0006;Eka Anggraini;Jakarta;statistika/probabilitas;99.5
J0006;Eka Anggraini;Jakarta;switching;72.4
J0006;Eka Anggraini;Jakarta;tcp/ip;97.6
J0006;Eka Anggraini;Jakarta;uml (unified modeling language);99.4
J0006;Eka Anggraini;Jakarta;vulnerability assessment;95.4
J0007;Kartika Wijaya;Jakarta;agile;54.9
J0007;Kartika Wijaya;Jakarta;algorithm design;58.5
J0007;Kartika Wijaya;Jakarta;api;81.7
J0007;Kartika Wijaya;Jakarta;basic programming;58.5
J0007;Kartika Wijaya;Jakarta;basis data / database;88.0
J0007;Kartika Wijaya;Jakarta;cloud computing;68.8
J0007;Kartika Wijaya;Jakarta;cobit;89.5
J0007;Kartika Wijaya;Jakarta;data mining;97.6
J0007;Kartika Wijaya;Jakarta;data warehouse;76.1
J0007;Kartika Wijaya;Jakarta;design thinking;70.3
J0007;Kartika Wijaya;Jakarta;erd (entity relationship diagram);93.0
J0007;Kartika Wijaya;Jakarta;erp (enterprise resource planning);73.9
J0007;Kartika Wijaya;Jakarta;firewall;62.8
J0007;Kartika Wijaya;Jakarta;flowchart;53.0
J0007;Kartika Wijaya;Jakarta;git;80.7
J0007;Kartika Wijaya;Jakarta;graphql;66.9
J0007;Kartika Wijaya;Jakarta;html;98.9
J0007;Kartika Wijaya;Jakarta;information systems;99.2
J0007;Kartika Wijaya;Jakarta;jaringan komputer;51.9
J0007;Kartika Wijaya;Jakarta;klasifikasi (data);94.2
J0007;Kartika Wijaya;Jakarta;kpi (key performance indicator);76.9
J0007;Kartika Wijaya;Jakarta;kriptografi;79.0
J0007;Kartika Wijaya;Jakarta;linux;99.8
J0007;Kartika Wijaya;Jakarta;machine learning;76.4
J0007;Kartika Wijaya;Jakarta;microsoft excel;75.0
J0007;Kartika Wijaya;Jakarta;mysql;78.0
J0007;Kartika Wijaya;Jakarta;neural network;65.7
J0007;Kartika Wijaya;Jakarta;oop (object oriented programming);66.6
J0007;Kartika Wijaya;Jakarta;osi layer;96.8
J0007;Kartika Wijaya;Jakarta;otorisasi;92.1
J0007;Kartika Wijaya;Jakarta;php;92.3
J0007;Kartika Wijaya;Jakarta;prototyping;91.3
J0007;Kartika Wijaya;Jakarta;pseudocode;90.1
J0007;Kartika Wijaya;Jakarta;python;61.4
J0007;Kartika Wijaya;Jakarta;regresi;91.6
J0007;Kartika Wijaya;Jakarta;rest api;79.9
J0007;Kartika Wijaya;Jakarta;routing;93.3
J0007;Kartika Wijaya;Jakarta;sap;70.2
J0007;Kartika Wijaya;Jakarta;scm (supply chain management);90.4
J0007;Kartika Wijaya;Jakarta;sql;87.8
J0007;Kartika Wijaya;Jakarta;statistika/probabilitas;92.2
J0007;Kartika Wijaya;Jakarta;switching;84.8
J0007;Kartika Wijaya;Jakarta;tcp/ip;64.3
J0007;Kartika Wijaya;Jakarta;uml (unified modeling language);86.9
J0007;Kartika Wijaya;Jakarta;vulnerability assessment;93.1
J0008;Ivan Hidayat;Jakarta;agile;64.3
J0008;Ivan Hidayat;Jakarta;algorithm design;97.5
J0008;Ivan Hidayat;Jakarta;api;55.8
J0008;Ivan Hidayat;Jakarta;basic programming;97.5
J0008;Ivan Hidayat;Jakarta;basis data / database;90.1
J0008;Ivan Hidayat;Jakarta;cloud computing;70.5
J0008;Ivan Hidayat;Jakarta;cobit;88.3
J0008;Ivan Hidayat;Jakarta;data mining;97.7
J0008;Ivan Hidayat;Jakarta;data warehouse;87.7
J0008;Ivan Hidayat;Jakarta;design thinking;84.9
J0008;Ivan Hidayat;Jakarta;erd (entity relationship diagram);92.0
J0008;Ivan Hidayat;Jakarta;erp (enterprise resource planning);91.2
J0008;Ivan Hidayat;Jakarta;etl (extract transform load);72.3
J0008;Ivan Hidayat;Jakarta;flowchart;73.8
J0008;Ivan Hidayat;Jakarta;git;74.2
J0008;Ivan Hidayat;Jakarta;graphql;64.0
J0008;Ivan Hidayat;Jakarta;html;97.9
J0008;Ivan Hidayat;Jakarta;information systems;99.3
J0008;Ivan Hidayat;Jakarta;klasifikasi (data);83.9
J0008;Ivan Hidayat;Jakarta;kpi (key performance indicator);89.3
J0008;Ivan Hidayat;Jakarta;kriptografi;99.1
J0008;Ivan Hidayat;Jakarta;linux;88.5
J0008;Ivan Hidayat;Jakarta;machine learning;50.4
J0008;Ivan Hidayat;Jakarta;mysql;78.2
J0008;Ivan Hidayat;Jakarta;neural network;84.2
J0008;Ivan Hidayat;Jakarta;nosql;85.8
J0008;Ivan Hidayat;Jakarta;oop (object oriented programming);92.5
J0008;Ivan Hidayat;Jakarta;otorisasi;94.8
J0008;Ivan Hidayat;Jakarta;php;90.2
J0008;Ivan Hidayat;Jakarta;prototyping;98.5
J0008;Ivan Hidayat;Jakarta;pseudocode;50.8
J0008;Ivan Hidayat;Jakarta;python;82.7
J0008;Ivan Hidayat;Jakarta;regresi;76.9
J0008;Ivan Hidayat;Jakarta;rest api;60.7
J0008;Ivan Hidayat;Jakarta;routing;79.2
J0008;Ivan Hidayat;Jakarta;scm (supply chain management);86.5
J0008;Ivan Hidayat;Jakarta;scrum;92.1
J0008;Ivan Hidayat;Jakarta;sql;95.7
J0008;Ivan Hidayat;Jakarta;statistika/probabilitas;83.2
J0008;Ivan Hidayat;Jakarta;switching;96.6
J0008;Ivan Hidayat;Jakarta;tcp/ip;99.6
J0008;Ivan Hidayat;Jakarta;uml (unified modeling language);71.6
J0008;Ivan Hidayat;Jakarta;vulnerability assessment;76.7
J0009;Erlangga Santoso;Jakarta;agile;66.8
J0009;Erlangga Santoso;Jakarta;algorithm design;96.6
J0009;Erlangga Santoso;Jakarta;basic programming;96.6
J0009;Erlangga Santoso;Jakarta;basis data / database;98.2
J0009;Erlangga Santoso;Jakarta;cobit;91.2
J0009;Erlangga Santoso;Jakarta;data mining;84.1
J0009;Erlangga Santoso;Jakarta;data warehouse;69.1
J0009;Erlangga Santoso;Jakarta;decision tree;80.5
J0009;Erlangga Santoso;Jakarta;design thinking;51.6
J0009;Erlangga Santoso;Jakarta;erd (entity relationship diagram);94.4
J0009;Erlangga Santoso;Jakarta;erp (enterprise resource planning);98.5
J0009;Erlangga Santoso;Jakarta;etl (extract transform load);86.6
J0009;Erlangga Santoso;Jakarta;firewall;97.6
J0009;Erlangga Santoso;Jakarta;flowchart;50.3
J0009;Erlangga Santoso;Jakarta;git;88.0
J0009;Erlangga Santoso;Jakarta;graphql;85.9
J0009;Erlangga Santoso;Jakarta;html;78.1
J0009;Erlangga Santoso;Jakarta;information systems;98.5
J0009;Erlangga Santoso;Jakarta;jaringan komputer;57.7
J0009;Erlangga Santoso;Jakarta;klasifikasi (data);90.7
J0009;Erlangga Santoso;Jakarta;kpi (key performance indicator);81.4
J0009;Erlangga Santoso;Jakarta;kriptografi;86.9
J0009;Erlangga Santoso;Jakarta;linux;93.5
J0009;Erlangga Santoso;Jakarta;machine learning;98.0
J0009;Erlangga Santoso;Jakarta;microsoft excel;83.7
J0009;Erlangga Santoso;Jakarta;mysql;66.8
J0009;Erlangga Santoso;Jakarta;neural network;68.4
J0009;Erlangga Santoso;Jakarta;nosql;60.9
J0009;Erlangga Santoso;Jakarta;oop (object oriented programming);80.4
J0009;Erlangga Santoso;Jakarta;osi layer;99.5
J0009;Erlangga Santoso;Jakarta;otorisasi;76.7
J0009;Erlangga Santoso;Jakarta;php;97.8
J0009;Erlangga Santoso;Jakarta;prototyping;84.3
J0009;Erlangga Santoso;Jakarta;pseudocode;81.1
J0009;Erlangga Santoso;Jakarta;python;93.9
J0009;Erlangga Santoso;Jakarta;regresi;92.6
J0009;Erlangga Santoso;Jakarta;rest api;56.3
J0009;Erlangga Santoso;Jakarta;routing;88.7
J0009;Erlangga Santoso;Jakarta;scm (supply chain management);93.2
J0009;Erlangga Santoso;Jakarta;scrum;73.1
J0009;Erlangga Santoso;Jakarta;sql;79.4
J0009;Erlangga Santoso;Jakarta;statistika/probabilitas;98.1
J0009;Erlangga Santoso;Jakarta;switching;98.9
J0009;Erlangga Santoso;Jakarta;tcp/ip;82.7
J0009;Erlangga Santoso;Jakarta;uml (unified modeling language);81.0
J0009;Erlangga Santoso;Jakarta;vulnerability assessment;95.6
J0010;Zainal Wibowo;Jakarta;algorithm design;78.0
J0010;Zainal Wibowo;Jakarta;api;69.0
J0010;Zainal Wibowo;Jakarta;basic programming;78.0
J0010;Zainal Wibowo;Jakarta;basis data / database;99.9
J0010;Zainal Wibowo;Jakarta;cloud computing;87.0
J0010;Zainal Wibowo;Jakarta;cobit;98.9
J0010;Zainal Wibowo;Jakarta;data mining;70.0
J0010;Zainal Wibowo;Jakarta;decision tree;61.6
J0010;Zainal Wibowo;Jakarta;design thinking;70.2
J0010;Zainal Wibowo;Jakarta;erd (entity relationship diagram);59.7
J0010;Zainal Wibowo;Jakarta;erp (enterprise resource planning);97.7
J0010;Zainal Wibowo;Jakarta;etl (extract transform load);74.1
J0010;Zainal Wibowo;Jakarta;firewall;84.4
J0010;Zainal Wibowo;Jakarta;flowchart;95.9
J0010;Zainal Wibowo;Jakarta;git;75.6
J0010;Zainal Wibowo;Jakarta;html;93.8
J0010;Zainal Wibowo;Jakarta;information systems;99.2
J0010;Zainal Wibowo;Jakarta;jaringan komputer;75.4
J0010;Zainal Wibowo;Jakarta;klasifikasi (data);86.2
J0010;Zainal Wibowo;Jakarta;kpi (key performance indicator);79.8
J0010;Zainal Wibowo;Jakarta;kriptografi;91.3
J0010;Zainal Wibowo;Jakarta;linux;78.9
J0010;Zainal Wibowo;Jakarta;machine learning;60.8
J0010;Zainal Wibowo;Jakarta;microsoft excel;61.1
J0010;Zainal Wibowo;Jakarta;mysql;98.0
J0010;Zainal Wibowo;Jakarta;neural network;61.3
J0010;Zainal Wibowo;Jakarta;nosql;53.9
J0010;Zainal Wibowo;Jakarta;oop (object oriented programming);91.0
J0010;Zainal Wibowo;Jakarta;osi layer;94.9
J0010;Zainal Wibowo;Jakarta;otorisasi;79.8
J0010;Zainal Wibowo;Jakarta;php;95.9
J0010;Zainal Wibowo;Jakarta;prototyping;79.6
J0010;Zainal Wibowo;Jakarta;python;88.0
J0010;Zainal Wibowo;Jakarta;regresi;65.3
J0010;Zainal Wibowo;Jakarta;rest api;76.0
J0010;Zainal Wibowo;Jakarta;routing;78.2
J0010;Zainal Wibowo;Jakarta;sap;53.6
J0010;Zainal Wibowo;Jakarta;scm (supply chain management);95.3
J0010;Zainal Wibowo;Jakarta;scrum;94.7
J0010;Zainal Wibowo;Jakarta;sql;95.9
J0010;Zainal Wibowo;Jakarta;statistika/probabilitas;95.2
J0010;Zainal Wibowo;Jakarta;switching;96.0
J0010;Zainal Wibowo;Jakarta;tcp/ip;95.1
J0010;Zainal Wibowo;Jakarta;uml (unified modeling language);82.6
J0010;Zainal Wibowo;Jakarta;vulnerability assessment;98.8
J0011;Eka Wibowo;Jakarta;agile;51.6
J0011;Eka Wibowo;Jakarta;algorithm design;93.6
J0011;Eka Wibowo;Jakarta;api;59.5
J0011;Eka Wibowo;Jakarta;basic programming;93.6
J0011;Eka Wibowo;Jakarta;basis data / database;86.6
J0011;Eka Wibowo;Jakarta;cloud computing;53.6
J0011;Eka Wibowo;Jakarta;cobit;91.4
J0011;Eka Wibowo;Jakarta;data mining;93.7
J0011;Eka Wibowo;Jakarta;data warehouse;54.1
J0011;Eka Wibowo;Jakarta;design thinking;73.8
J0011;Eka Wibowo;Jakarta;erd (entity relationship diagram);99.0
J0011;Eka Wibowo;Jakarta;erp (enterprise resource planning);93.7
J0011;Eka Wibowo;Jakarta;etl (extract transform load);79.9
J0011;Eka Wibowo;Jakarta;firewall;93.4
J0011;Eka Wibowo;Jakarta;flowchart;69.4
J0011;Eka Wibowo;Jakarta;git;51.6
J0011;Eka Wibowo;Jakarta;graphql;95.9
J0011;Eka Wibowo;Jakarta;html;91.1
J0011;Eka Wibowo;Jakarta;information systems;97.4
J0011;Eka Wibowo;Jakarta;jaringan komputer;85.9
J0011;Eka Wibowo;Jakarta;klasifikasi (data);96.1
J0011;Eka Wibowo;Jakarta;kriptografi;94.2
J0011;Eka Wibowo;Jakarta;linux;80.6
J0011;Eka Wibowo;Jakarta;microsoft excel;92.7
J0011;Eka Wibowo;Jakarta;nosql;93.8
J0011;Eka Wibowo;Jakarta;oop (object oriented programming);97.8
J0011;Eka Wibowo;Jakarta;osi layer;52.1
J0011;Eka Wibowo;Jakarta;otorisasi;56.9
J0011;Eka Wibowo;Jakarta;php;97.0
J0011;Eka Wibowo;Jakarta;prototyping;95.9
J0011;Eka Wibowo;Jakarta;pseudocode;59.6
J0011;Eka Wibowo;Jakarta;python;90.6
J0011;Eka Wibowo;Jakarta;regresi;70.5
J0011;Eka Wibowo;Jakarta;routing;70.6
J0011;Eka Wibowo;Jakarta;scm (supply chain management);84.6
